Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Ireland,IRL,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.6
Ireland,IRL,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.5
Ireland,IRL,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.4
Ireland,IRL,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.2
Ireland,IRL,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.1
Ireland,IRL,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12
Ireland,IRL,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,11.9
Ireland,IRL,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,11.9
Ireland,IRL,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12
Ireland,IRL,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.1
Ireland,IRL,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.3
Ireland,IRL,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.5
Ireland,IRL,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,12.7
Ireland,IRL,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.9
Ireland,IRL,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.6
Ireland,IRL,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.4
Ireland,IRL,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11.2
Ireland,IRL,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,11
Ireland,IRL,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.9
Ireland,IRL,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.8
Ireland,IRL,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.7
Ireland,IRL,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.6
Ireland,IRL,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.6
Ireland,IRL,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.5
Ireland,IRL,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.5
Ireland,IRL,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.4
Ireland,IRL,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.3
Ireland,IRL,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.3
Ireland,IRL,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.3
Ireland,IRL,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.4
Ireland,IRL,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.4
Ireland,IRL,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.6
Ireland,IRL,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,10.8
Ireland,IRL,2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,5.68459569024138
Ireland,IRL,2015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,6.12208745016334
Ireland,IRL,2010,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,6.35667109024261
Ireland,IRL,2000,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,9.60761456326185
Ireland,IRL,2021,Number of infant deaths,SH.DTH.IMRT,162
Ireland,IRL,2020,Number of infant deaths,SH.DTH.IMRT,169
Ireland,IRL,2019,Number of infant deaths,SH.DTH.IMRT,176
Ireland,IRL,2018,Number of infant deaths,SH.DTH.IMRT,181
Ireland,IRL,2017,Number of infant deaths,SH.DTH.IMRT,188
Ireland,IRL,2016,Number of infant deaths,SH.DTH.IMRT,199
Ireland,IRL,2015,Number of infant deaths,SH.DTH.IMRT,210
Ireland,IRL,2014,Number of infant deaths,SH.DTH.IMRT,222
Ireland,IRL,2013,Number of infant deaths,SH.DTH.IMRT,234
Ireland,IRL,2012,Number of infant deaths,SH.DTH.IMRT,247
Ireland,IRL,2011,Number of infant deaths,SH.DTH.IMRT,258
Ireland,IRL,2010,Number of infant deaths,SH.DTH.IMRT,267
Ireland,IRL,2009,Number of infant deaths,SH.DTH.IMRT,273
Ireland,IRL,2008,Number of infant deaths,SH.DTH.IMRT,271
Ireland,IRL,2007,Number of infant deaths,SH.DTH.IMRT,261
Ireland,IRL,2006,Number of infant deaths,SH.DTH.IMRT,255
Ireland,IRL,2005,Number of infant deaths,SH.DTH.IMRT,265
Ireland,IRL,2004,Number of infant deaths,SH.DTH.IMRT,285
Ireland,IRL,2003,Number of infant deaths,SH.DTH.IMRT,304
Ireland,IRL,2002,Number of infant deaths,SH.DTH.IMRT,316
Ireland,IRL,2001,Number of infant deaths,SH.DTH.IMRT,318
Ireland,IRL,2000,Number of infant deaths,SH.DTH.IMRT,319
Ireland,IRL,1999,Number of infant deaths,SH.DTH.IMRT,322
Ireland,IRL,1998,Number of infant deaths,SH.DTH.IMRT,321
Ireland,IRL,1997,Number of infant deaths,SH.DTH.IMRT,311
Ireland,IRL,1996,Number of infant deaths,SH.DTH.IMRT,298
Ireland,IRL,1995,Number of infant deaths,SH.DTH.IMRT,291
Ireland,IRL,1994,Number of infant deaths,SH.DTH.IMRT,297
Ireland,IRL,1993,Number of infant deaths,SH.DTH.IMRT,317
Ireland,IRL,1992,Number of infant deaths,SH.DTH.IMRT,345
Ireland,IRL,1991,Number of infant deaths,SH.DTH.IMRT,374
Ireland,IRL,1990,Number of infant deaths,SH.DTH.IMRT,395
Ireland,IRL,1989,Number of infant deaths,SH.DTH.IMRT,423
Ireland,IRL,1988,Number of infant deaths,SH.DTH.IMRT,464
Ireland,IRL,1987,Number of infant deaths,SH.DTH.IMRT,502
Ireland,IRL,1986,Number of infant deaths,SH.DTH.IMRT,529
Ireland,IRL,1985,Number of infant deaths,SH.DTH.IMRT,558
Ireland,IRL,1984,Number of infant deaths,SH.DTH.IMRT,602
Ireland,IRL,1983,Number of infant deaths,SH.DTH.IMRT,663
Ireland,IRL,1982,Number of infant deaths,SH.DTH.IMRT,729
Ireland,IRL,1981,Number of infant deaths,SH.DTH.IMRT,800
Ireland,IRL,1980,Number of infant deaths,SH.DTH.IMRT,871
Ireland,IRL,1979,Number of infant deaths,SH.DTH.IMRT,926
Ireland,IRL,1978,Number of infant deaths,SH.DTH.IMRT,979
Ireland,IRL,1977,Number of infant deaths,SH.DTH.IMRT,1031
Ireland,IRL,1976,Number of infant deaths,SH.DTH.IMRT,1080
Ireland,IRL,1975,Number of infant deaths,SH.DTH.IMRT,1140
Ireland,IRL,1974,Number of infant deaths,SH.DTH.IMRT,1192
Ireland,IRL,1973,Number of infant deaths,SH.DTH.IMRT,1211
Ireland,IRL,1972,Number of infant deaths,SH.DTH.IMRT,1220
Ireland,IRL,1971,Number of infant deaths,SH.DTH.IMRT,1213
Ireland,IRL,1970,Number of infant deaths,SH.DTH.IMRT,1203
Ireland,IRL,1969,Number of infant deaths,SH.DTH.IMRT,1208
Ireland,IRL,1968,Number of infant deaths,SH.DTH.IMRT,1244
Ireland,IRL,1967,Number of infant deaths,SH.DTH.IMRT,1325
Ireland,IRL,1966,Number of infant deaths,SH.DTH.IMRT,1431
Ireland,IRL,1965,Number of infant deaths,SH.DTH.IMRT,1534
Ireland,IRL,1964,Number of infant deaths,SH.DTH.IMRT,1605
Ireland,IRL,1963,Number of infant deaths,SH.DTH.IMRT,1644
Ireland,IRL,1962,Number of infant deaths,SH.DTH.IMRT,1672
Ireland,IRL,1961,Number of infant deaths,SH.DTH.IMRT,1750
Ireland,IRL,1960,Number of infant deaths,SH.DTH.IMRT,1851
Ireland,IRL,2019,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,3.9095342520665
Ireland,IRL,2015,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,3.91249200952794
Ireland,IRL,2010,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.05501740113206
Ireland,IRL,2000,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.33088597715486
Ireland,IRL,2021,Number of under-five deaths,SH.DTH.MORT,187
Ireland,IRL,2020,Number of under-five deaths,SH.DTH.MORT,194
Ireland,IRL,2019,Number of under-five deaths,SH.DTH.MORT,203
Ireland,IRL,2018,Number of under-five deaths,SH.DTH.MORT,211
Ireland,IRL,2017,Number of under-five deaths,SH.DTH.MORT,220
Ireland,IRL,2016,Number of under-five deaths,SH.DTH.MORT,233
Ireland,IRL,2015,Number of under-five deaths,SH.DTH.MORT,247
Ireland,IRL,2014,Number of under-five deaths,SH.DTH.MORT,261
Ireland,IRL,2013,Number of under-five deaths,SH.DTH.MORT,275
Ireland,IRL,2012,Number of under-five deaths,SH.DTH.MORT,289
Ireland,IRL,2011,Number of under-five deaths,SH.DTH.MORT,301
Ireland,IRL,2010,Number of under-five deaths,SH.DTH.MORT,310
Ireland,IRL,2009,Number of under-five deaths,SH.DTH.MORT,316
Ireland,IRL,2008,Number of under-five deaths,SH.DTH.MORT,313
Ireland,IRL,2007,Number of under-five deaths,SH.DTH.MORT,304
Ireland,IRL,2006,Number of under-five deaths,SH.DTH.MORT,300
Ireland,IRL,2005,Number of under-five deaths,SH.DTH.MORT,313
Ireland,IRL,2004,Number of under-five deaths,SH.DTH.MORT,335
Ireland,IRL,2003,Number of under-five deaths,SH.DTH.MORT,357
Ireland,IRL,2002,Number of under-five deaths,SH.DTH.MORT,371
Ireland,IRL,2001,Number of under-five deaths,SH.DTH.MORT,376
Ireland,IRL,2000,Number of under-five deaths,SH.DTH.MORT,379
Ireland,IRL,1999,Number of under-five deaths,SH.DTH.MORT,382
Ireland,IRL,1998,Number of under-five deaths,SH.DTH.MORT,380
Ireland,IRL,1997,Number of under-five deaths,SH.DTH.MORT,369
Ireland,IRL,1996,Number of under-five deaths,SH.DTH.MORT,357
Ireland,IRL,1995,Number of under-five deaths,SH.DTH.MORT,352
Ireland,IRL,1994,Number of under-five deaths,SH.DTH.MORT,360
Ireland,IRL,1993,Number of under-five deaths,SH.DTH.MORT,384
Ireland,IRL,1992,Number of under-five deaths,SH.DTH.MORT,418
Ireland,IRL,1991,Number of under-five deaths,SH.DTH.MORT,454
Ireland,IRL,1990,Number of under-five deaths,SH.DTH.MORT,484
Ireland,IRL,1989,Number of under-five deaths,SH.DTH.MORT,520
Ireland,IRL,1988,Number of under-five deaths,SH.DTH.MORT,568
Ireland,IRL,1987,Number of under-five deaths,SH.DTH.MORT,612
Ireland,IRL,1986,Number of under-five deaths,SH.DTH.MORT,646
Ireland,IRL,1985,Number of under-five deaths,SH.DTH.MORT,683
Ireland,IRL,1984,Number of under-five deaths,SH.DTH.MORT,735
Ireland,IRL,1983,Number of under-five deaths,SH.DTH.MORT,804
Ireland,IRL,1982,Number of under-five deaths,SH.DTH.MORT,876
Ireland,IRL,1981,Number of under-five deaths,SH.DTH.MORT,953
Ireland,IRL,1980,Number of under-five deaths,SH.DTH.MORT,1032
Ireland,IRL,1979,Number of under-five deaths,SH.DTH.MORT,1096
Ireland,IRL,1978,Number of under-five deaths,SH.DTH.MORT,1160
Ireland,IRL,1977,Number of under-five deaths,SH.DTH.MORT,1222
Ireland,IRL,1976,Number of under-five deaths,SH.DTH.MORT,1280
Ireland,IRL,1975,Number of under-five deaths,SH.DTH.MORT,1345
Ireland,IRL,1974,Number of under-five deaths,SH.DTH.MORT,1396
Ireland,IRL,1973,Number of under-five deaths,SH.DTH.MORT,1412
Ireland,IRL,1972,Number of under-five deaths,SH.DTH.MORT,1416
Ireland,IRL,1971,Number of under-five deaths,SH.DTH.MORT,1405
Ireland,IRL,1970,Number of under-five deaths,SH.DTH.MORT,1395
Ireland,IRL,1969,Number of under-five deaths,SH.DTH.MORT,1405
Ireland,IRL,1968,Number of under-five deaths,SH.DTH.MORT,1450
Ireland,IRL,1967,Number of under-five deaths,SH.DTH.MORT,1541
Ireland,IRL,1966,Number of under-five deaths,SH.DTH.MORT,1657
Ireland,IRL,1965,Number of under-five deaths,SH.DTH.MORT,1769
Ireland,IRL,1964,Number of under-five deaths,SH.DTH.MORT,1851
Ireland,IRL,1963,Number of under-five deaths,SH.DTH.MORT,1900
Ireland,IRL,1962,Number of under-five deaths,SH.DTH.MORT,1941
Ireland,IRL,1961,Number of under-five deaths,SH.DTH.MORT,2032
Ireland,IRL,1960,Number of under-five deaths,SH.DTH.MORT,2149
Ireland,IRL,2019,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,90.4058687318321
Ireland,IRL,2015,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,89.9654186700796
Ireland,IRL,2010,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,88.5883114015248
Ireland,IRL,2000,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,85.0614990035855
Ireland,IRL,2021,Number of neonatal deaths,SH.DTH.NMRT,121
Ireland,IRL,2020,Number of neonatal deaths,SH.DTH.NMRT,126
Ireland,IRL,2019,Number of neonatal deaths,SH.DTH.NMRT,131
Ireland,IRL,2018,Number of neonatal deaths,SH.DTH.NMRT,137
Ireland,IRL,2017,Number of neonatal deaths,SH.DTH.NMRT,140
Ireland,IRL,2016,Number of neonatal deaths,SH.DTH.NMRT,148
Ireland,IRL,2015,Number of neonatal deaths,SH.DTH.NMRT,156
Ireland,IRL,2014,Number of neonatal deaths,SH.DTH.NMRT,165
Ireland,IRL,2013,Number of neonatal deaths,SH.DTH.NMRT,173
Ireland,IRL,2012,Number of neonatal deaths,SH.DTH.NMRT,180
Ireland,IRL,2011,Number of neonatal deaths,SH.DTH.NMRT,185
Ireland,IRL,2010,Number of neonatal deaths,SH.DTH.NMRT,187
Ireland,IRL,2009,Number of neonatal deaths,SH.DTH.NMRT,187
Ireland,IRL,2008,Number of neonatal deaths,SH.DTH.NMRT,186
Ireland,IRL,2007,Number of neonatal deaths,SH.DTH.NMRT,181
Ireland,IRL,2006,Number of neonatal deaths,SH.DTH.NMRT,176
Ireland,IRL,2005,Number of neonatal deaths,SH.DTH.NMRT,181
Ireland,IRL,2004,Number of neonatal deaths,SH.DTH.NMRT,198
Ireland,IRL,2003,Number of neonatal deaths,SH.DTH.NMRT,212
Ireland,IRL,2002,Number of neonatal deaths,SH.DTH.NMRT,220
Ireland,IRL,2001,Number of neonatal deaths,SH.DTH.NMRT,220
Ireland,IRL,2000,Number of neonatal deaths,SH.DTH.NMRT,217
Ireland,IRL,1999,Number of neonatal deaths,SH.DTH.NMRT,216
Ireland,IRL,1998,Number of neonatal deaths,SH.DTH.NMRT,216
Ireland,IRL,1997,Number of neonatal deaths,SH.DTH.NMRT,211
Ireland,IRL,1996,Number of neonatal deaths,SH.DTH.NMRT,205
Ireland,IRL,1995,Number of neonatal deaths,SH.DTH.NMRT,202
Ireland,IRL,1994,Number of neonatal deaths,SH.DTH.NMRT,204
Ireland,IRL,1993,Number of neonatal deaths,SH.DTH.NMRT,214
Ireland,IRL,1992,Number of neonatal deaths,SH.DTH.NMRT,228
Ireland,IRL,1991,Number of neonatal deaths,SH.DTH.NMRT,240
Ireland,IRL,1990,Number of neonatal deaths,SH.DTH.NMRT,247
Ireland,IRL,1989,Number of neonatal deaths,SH.DTH.NMRT,248
Ireland,IRL,1988,Number of neonatal deaths,SH.DTH.NMRT,264
Ireland,IRL,1987,Number of neonatal deaths,SH.DTH.NMRT,287
Ireland,IRL,1986,Number of neonatal deaths,SH.DTH.NMRT,310
Ireland,IRL,1985,Number of neonatal deaths,SH.DTH.NMRT,330
Ireland,IRL,1984,Number of neonatal deaths,SH.DTH.NMRT,361
Ireland,IRL,1983,Number of neonatal deaths,SH.DTH.NMRT,398
Ireland,IRL,1982,Number of neonatal deaths,SH.DTH.NMRT,446
Ireland,IRL,1981,Number of neonatal deaths,SH.DTH.NMRT,490
Ireland,IRL,1980,Number of neonatal deaths,SH.DTH.NMRT,548
Ireland,IRL,1979,Number of neonatal deaths,SH.DTH.NMRT,594
Ireland,IRL,1978,Number of neonatal deaths,SH.DTH.NMRT,638
Ireland,IRL,1977,Number of neonatal deaths,SH.DTH.NMRT,688
Ireland,IRL,1976,Number of neonatal deaths,SH.DTH.NMRT,730
Ireland,IRL,1975,Number of neonatal deaths,SH.DTH.NMRT,767
Ireland,IRL,1974,Number of neonatal deaths,SH.DTH.NMRT,813
Ireland,IRL,1973,Number of neonatal deaths,SH.DTH.NMRT,826
Ireland,IRL,1972,Number of neonatal deaths,SH.DTH.NMRT,831
Ireland,IRL,1971,Number of neonatal deaths,SH.DTH.NMRT,841
Ireland,IRL,1970,Number of neonatal deaths,SH.DTH.NMRT,839
Ireland,IRL,1969,Number of neonatal deaths,SH.DTH.NMRT,858
Ireland,IRL,1968,Number of neonatal deaths,SH.DTH.NMRT,879
Ireland,IRL,1967,Number of neonatal deaths,SH.DTH.NMRT,933
Ireland,IRL,1966,Number of neonatal deaths,SH.DTH.NMRT,996
Ireland,IRL,1965,Number of neonatal deaths,SH.DTH.NMRT,1061
Ireland,IRL,1964,Number of neonatal deaths,SH.DTH.NMRT,1107
Ireland,IRL,1963,Number of neonatal deaths,SH.DTH.NMRT,1134
Ireland,IRL,1962,Number of neonatal deaths,SH.DTH.NMRT,1156
Ireland,IRL,1961,Number of neonatal deaths,SH.DTH.NMRT,1190
Ireland,IRL,2021,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.4
Ireland,IRL,2020,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.4
Ireland,IRL,2019,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.3
Ireland,IRL,2018,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.5
Ireland,IRL,2017,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.7
Ireland,IRL,2016,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.8
Ireland,IRL,2015,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,33
Ireland,IRL,2014,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.9
Ireland,IRL,2013,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.8
Ireland,IRL,2012,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.7
Ireland,IRL,2011,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.6
Ireland,IRL,2010,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.4
Ireland,IRL,2009,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.3
Ireland,IRL,2008,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.2
Ireland,IRL,2007,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.1
Ireland,IRL,2006,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.9
Ireland,IRL,2005,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.8
Ireland,IRL,2004,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.8
Ireland,IRL,2003,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.8
Ireland,IRL,2002,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.7
Ireland,IRL,2001,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.8
Ireland,IRL,2000,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.7
Ireland,IRL,1999,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.8
Ireland,IRL,1998,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.8
Ireland,IRL,1997,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.7
Ireland,IRL,1996,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.6
Ireland,IRL,1995,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.4
Ireland,IRL,1994,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,31.1
Ireland,IRL,1993,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,30.9
Ireland,IRL,1992,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,30.6
Ireland,IRL,1991,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,30.4
Ireland,IRL,1990,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,30.1
Ireland,IRL,2021,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.3
